Season,Player,Matches_Batted,Innings_Batted,Runs_Scored,Balls_Faced,Dismissals,Batting_Average,Strike_Rate
2007/08,A Chopra,5,55,42,55,3,14.0,76.36363636363637
2007/08,A Kumble,4,17,13,17,1,13.0,76.47058823529412
2007/08,A Mishra,3,42,37,42,3,12.333333333333334,88.09523809523809
2007/08,A Mukund,1,1,0,1,1,0.0,0.0
2007/08,A Nehra,3,13,3,13,0,3.0,23.076923076923077
2007/08,A Symonds,3,111,161,111,2,80.5,145.04504504504504
2007/08,AA Noffke,1,12,9,12,0,9.0,75.0
2007/08,AB Agarkar,6,49,54,49,4,13.5,110.20408163265304
2007/08,AB Dinda,2,4,2,4,1,2.0,50.0
2007/08,AB de Villiers,6,100,95,100,4,23.75,95.0
2007/08,AC Gilchrist,14,328,436,328,13,33.53846153846154,132.9268292682927
2007/08,AD Mascarenhas,1,8,9,8,1,9.0,112.5
2007/08,AM Nayar,10,142,206,142,8,25.75,145.07042253521126
2007/08,AM Rahane,2,19,4,19,2,2.0,21.052631578947366
2007/08,AS Yadav,6,40,49,40,5,9.8,122.50000000000001
2007/08,Abdur Razzak,1,2,0,2,0,0.0,0.0
2007/08,B Akhil,7,32,46,32,2,23.0,143.75
2007/08,B Chipli,3,30,20,30,3,6.666666666666667,66.66666666666666
2007/08,B Lee,3,14,17,14,1,17.0,121.42857142857142
2007/08,BB McCullum,4,96,188,96,3,62.666666666666664,195.83333333333331
2007/08,BJ Hodge,3,18,12,18,2,6.0,66.66666666666666
2007/08,CK Kapugedera,3,24,16,24,3,5.333333333333333,66.66666666666666
2007/08,CL White,8,105,114,105,5,22.8,108.57142857142857
2007/08,CRD Fernando,1,1,2,1,0,2.0,200.0
2007/08,D Kalyankrishna,1,8,3,8,1,3.0,37.5
2007/08,D Salunkhe,3,24,33,24,1,33.0,137.5
2007/08,DB Das,6,95,103,95,6,17.166666666666668,108.42105263157895
2007/08,DB Ravi Teja,6,85,109,85,6,18.166666666666668,128.23529411764707
2007/08,DJ Bravo,7,137,178,137,6,29.666666666666668,129.92700729927006
2007/08,DJ Hussey,13,267,319,267,10,31.9,119.47565543071161
2007/08,DJ Thornely,4,54,39,54,3,13.0,72.22222222222221
2007/08,DNT Zoysa,2,9,11,9,1,11.0,122.22222222222223
2007/08,DP Vijaykumar,1,1,1,1,0,1.0,100.0
2007/08,DPMD Jayawardene,12,138,179,138,7,25.571428571428573,129.71014492753622
2007/08,DR Smith,3,41,45,41,2,22.5,109.75609756097562
2007/08,DS Kulkarni,1,17,2,17,0,2.0,11.76470588235294
2007/08,DS Lehmann,2,19,18,19,2,9.0,94.73684210526315
2007/08,DT Patil,2,13,13,13,1,13.0,100.0
2007/08,DW Steyn,2,5,2,5,1,2.0,40.0
2007/08,G Gambhir,14,394,534,394,12,44.5,135.53299492385787
2007/08,GC Smith,11,375,441,375,9,49.0,117.6
2007/08,GD McGrath,2,5,4,5,1,4.0,80.0
