Season,Player,Matches_Bowled,Balls_Bowled,Wickets_Taken,Runs_Conceded,Overs_Bowled,Bowling_Average,Economy_Rate,Strike_Rate
2007/08,A Kumble,10,236,8,20,39.2,2.5,0.5084745762711864,29.5
2007/08,A Mishra,6,123,11,6,20.3,0.5454545454545454,0.2926829268292683,11.181818181818182
2007/08,A Nehra,14,280,14,21,46.4,1.5,0.45,20.0
2007/08,A Nel,1,18,1,0,3.0,0.0,0.0,18.0
2007/08,A Symonds,3,44,0,12,7.2,0.0,1.6363636363636365,0.0
2007/08,AA Noffke,1,25,1,6,4.1,6.0,1.44,25.0
2007/08,AB Agarkar,9,168,8,16,28.0,2.0,0.5714285714285714,21.0
2007/08,AB Dinda,12,245,11,21,40.5,1.9090909090909092,0.5142857142857142,22.272727272727273
2007/08,AD Mascarenhas,1,25,2,4,4.1,2.0,0.96,12.5
2007/08,AM Nayar,5,43,1,2,7.1,2.0,0.27906976744186046,43.0
2007/08,Abdur Razzak,1,14,0,6,2.2,0.0,2.571428571428571,0.0
2007/08,B Akhil,6,105,3,6,17.3,2.0,0.34285714285714286,35.0
2007/08,B Geeves,2,49,2,1,8.1,0.5,0.12244897959183675,24.5
2007/08,B Lee,4,99,5,9,16.3,1.8,0.5454545454545454,19.8
2007/08,BAW Mendis,1,24,1,0,4.0,0.0,0.0,24.0
2007/08,CK Kapugedera,3,17,0,0,2.5,0.0,0.0,0.0
2007/08,CL White,1,7,0,2,1.1,0.0,1.7142857142857142,0.0
2007/08,CRD Fernando,5,128,12,12,21.2,1.0,0.5625,10.666666666666666
2007/08,D Kalyankrishna,3,50,2,3,8.2,1.5,0.36,25.0
2007/08,D Salunkhe,5,51,1,10,8.3,10.0,1.1764705882352942,51.0
2007/08,DB Ravi Teja,1,12,1,0,2.0,0.0,0.0,12.0
2007/08,DJ Bravo,9,181,11,17,30.1,1.5454545454545454,0.56353591160221,16.454545454545453
2007/08,DJ Hussey,5,79,3,5,13.1,1.6666666666666667,0.379746835443038,26.333333333333332
