Match_ID,Season,Date,Venue,Team1,Team2,Winner,Result_Margin,Time
335982,2007/08,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,140.0,
335983,2007/08,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,33.0,
335984,2007/08,2008-04-19,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,9.0,
335985,2007/08,2008-04-20,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,5.0,
335986,2007/08,2008-04-20,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,5.0,
335987,2007/08,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,6.0,
335988,2007/08,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,Delhi Capitals,9.0,
335989,2007/08,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6.0,
335990,2007/08,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,3.0,
335991,2007/08,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Punjab Kings,66.0,
335992,2007/08,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,7.0,
335993,2007/08,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,9.0,
335994,2007/08,2008-04-27,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,10.0,
335995,2007/08,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,4.0,
335996,2007/08,2008-04-28,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,13.0,
335997,2007/08,2008-04-29,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,7.0,
335998,2007/08,2008-04-30,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,10.0,
